input,required-output,baseline-output,finetune-output,Result Baseline,Result Finetuned,
"Question: What is the average discount given per order?

Available database schema:
Tables:
- customers (customer_id, first_name, last_name, email, city, state, country, age, gender, signup_date, customer_segment)
- orders (order_id, customer_id, order_date, total_amount, status, channel, shipping_cost)
- order_items (item_id, order_id, product_id, quantity, unit_price, discount_pct)
- products (product_id, product_name, category, sub_category, brand, cost_price, selling_price, stock_qty)
- payments (payment_id, order_id, payment_method, amount, payment_date, status)
- returns (return_id, order_id, item_id, reason, return_date, refund_amount, status)","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}",Pass,Pass,
"Question: Customer distribution by segment

Available database schema:
Tables:
- customers (customer_id, first_name, last_name, email, city, state, country, age, gender, signup_date, customer_segment)
- orders (order_id, customer_id, order_date, total_amount, status, channel, shipping_cost)
- order_items (item_id, order_id, product_id, quantity, unit_price, discount_pct)
- products (product_id, product_name, category, sub_category, brand, cost_price, selling_price, stock_qty)
- payments (payment_id, order_id, payment_method, amount, payment_date, status)
- returns (return_id, order_id, item_id, reason, return_date, refund_amount, status)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'pie', 'chartDetails': 'Customer distribution by segment, pie chart showing proportion of customers in each segment', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'pie', 'chartDetails': 'Customer distribution by segment, pie chart', 'notAnswerableReason': None}",Fail,Pass,
"Question: What is our total refund amount this quarter?

Available database schema:
Tables:
- customers (customer_id, first_name, last_name, email, city, state, country, age, gender, signup_date, customer_segment)
- orders (order_id, customer_id, order_date, total_amount, status, channel, shipping_cost)
- order_items (item_id, order_id, product_id, quantity, unit_price, discount_pct)
- products (product_id, product_name, category, sub_category, brand, cost_price, selling_price, stock_qty)
- payments (payment_id, order_id, payment_method, amount, payment_date, status)
- returns (return_id, order_id, item_id, reason, return_date, refund_amount, status)","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}",Pass,Pass,
"Question: How many employees were hired this year?

Available database schema:
Tables:
- employees (employee_id, first_name, last_name, department_id, job_title, hire_date, termination_date, salary, gender, age, state, employment_status)
- departments (department_id, department_name, manager_id, location, annual_budget)
- performance_reviews (review_id, employee_id, review_date, rating, comments, reviewer_id)
- leave_requests (request_id, employee_id, leave_type, start_date, end_date, days_taken, status)
- payroll (payroll_id, employee_id, pay_period_start, pay_period_end, base_salary, bonus, overtime_pay, deductions, net_pay)","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': False, 'requiresChart': False, 'requiresTextOutput': True, 'notAnswerableReason': 'data not in the schema'}",,Fail,,
"Question: Show headcount growth by quarter since 2020

Available database schema:
Tables:
- employees (employee_id, first_name, last_name, department_id, job_title, hire_date, termination_date, salary, gender, age, state, employment_status)
- departments (department_id, department_name, manager_id, location, annual_budget)
- performance_reviews (review_id, employee_id, review_date, rating, comments, reviewer_id)
- leave_requests (request_id, employee_id, leave_type, start_date, end_date, days_taken, status)
- payroll (payroll_id, employee_id, pay_period_start, pay_period_end, base_salary, bonus, overtime_pay, deductions, net_pay)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'line', 'chartDetails': 'Headcount growth by quarter since 2020, line chart with quarter on x-axis and headcount on y-axis', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': True, 'chartType': 'line', 'chartDetails': 'headcount growth by quarter since 2020', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'line', 'chartDetails': 'Show headcount growth by quarter since 2020, line chart', 'notAnswerableReason': None}",Fail,Pass,
"Question: Average salary by department

Available database schema:
Tables:
- employees (employee_id, first_name, last_name, department_id, job_title, hire_date, termination_date, salary, gender, age, state, employment_status)
- departments (department_id, department_name, manager_id, location, annual_budget)
- performance_reviews (review_id, employee_id, review_date, rating, comments, reviewer_id)
- leave_requests (request_id, employee_id, leave_type, start_date, end_date, days_taken, status)
- payroll (payroll_id, employee_id, pay_period_start, pay_period_end, base_salary, bonus, overtime_pay, deductions, net_pay)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Average salary by department, bar chart with department on x-axis and average salary on y-axis sorted descending', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Average salary by department, bar chart', 'notAnswerableReason': None}",Fail,Pass,
"Question: Employee turnover rate by year

Available database schema:
Tables:
- employees (employee_id, first_name, last_name, department_id, job_title, hire_date, termination_date, salary, gender, age, state, employment_status)
- departments (department_id, department_name, manager_id, location, annual_budget)
- performance_reviews (review_id, employee_id, review_date, rating, comments, reviewer_id)
- leave_requests (request_id, employee_id, leave_type, start_date, end_date, days_taken, status)
- payroll (payroll_id, employee_id, pay_period_start, pay_period_end, base_salary, bonus, overtime_pay, deductions, net_pay)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'line', 'chartDetails': 'Employee turnover rate by year, line chart with year on x-axis and turnover rate (%) on y-axis', 'notAnswerableReason': None}",,"{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'line', 'chartDetails': 'Employee turnover rate by year, line chart', 'notAnswerableReason': None}",,Pass,
"Question: Gender distribution of employees by department

Available database schema:
Tables:
- employees (employee_id, first_name, last_name, department_id, job_title, hire_date, termination_date, salary, gender, age, state, employment_status)
- departments (department_id, department_name, manager_id, location, annual_budget)
- performance_reviews (review_id, employee_id, review_date, rating, comments, reviewer_id)
- leave_requests (request_id, employee_id, leave_type, start_date, end_date, days_taken, status)
- payroll (payroll_id, employee_id, pay_period_start, pay_period_end, base_salary, bonus, overtime_pay, deductions, net_pay)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Gender distribution of employees by department, grouped bar chart with department on x-axis and employee count by gender on y-axis', 'notAnswerableReason': None}","{'questionAnswerable': False, 'requiresChart': False, 'requiresTextOutput': True, 'notAnswerableReason': 'Gender distribution of employees by department is not in the schema'}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Gender distribution of employees by department, bar chart', 'notAnswerableReason': None}",Fail,Pass,
"Question: How many employees are currently on leave?

Available database schema:
Tables:
- employees (employee_id, first_name, last_name, department_id, job_title, hire_date, termination_date, salary, gender, age, state, employment_status)
- departments (department_id, department_name, manager_id, location, annual_budget)
- performance_reviews (review_id, employee_id, review_date, rating, comments, reviewer_id)
- leave_requests (request_id, employee_id, leave_type, start_date, end_date, days_taken, status)
- payroll (payroll_id, employee_id, pay_period_start, pay_period_end, base_salary, bonus, overtime_pay, deductions, net_pay)","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': False, 'requiresChart': False, 'requiresTextOutput': True, 'notAnswerableReason': 'data not in the schema'}",,Fail,,
"Question: What is the total payroll cost this month?

Available database schema:
Tables:
- employees (employee_id, first_name, last_name, department_id, job_title, hire_date, termination_date, salary, gender, age, state, employment_status)
- departments (department_id, department_name, manager_id, location, annual_budget)
- performance_reviews (review_id, employee_id, review_date, rating, comments, reviewer_id)
- leave_requests (request_id, employee_id, leave_type, start_date, end_date, days_taken, status)
- payroll (payroll_id, employee_id, pay_period_start, pay_period_end, base_salary, bonus, overtime_pay, deductions, net_pay)","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': False, 'requiresChart': False, 'requiresTextOutput': True, 'notAnswerableReason': 'data not in the schema'}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}",Fail,Pass,
"Question: Performance rating distribution across all employees

Available database schema:
Tables:
- employees (employee_id, first_name, last_name, department_id, job_title, hire_date, termination_date, salary, gender, age, state, employment_status)
- departments (department_id, department_name, manager_id, location, annual_budget)
- performance_reviews (review_id, employee_id, review_date, rating, comments, reviewer_id)
- leave_requests (request_id, employee_id, leave_type, start_date, end_date, days_taken, status)
- payroll (payroll_id, employee_id, pay_period_start, pay_period_end, base_salary, bonus, overtime_pay, deductions, net_pay)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Performance rating distribution across all employees, bar chart with rating value on x-axis and employee count on y-axis', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Performance rating distribution across all employees, bar chart', 'notAnswerableReason': None}",Fail,Pass,
"Question: Total payroll expense by department per quarter

Available database schema:
Tables:
- employees (employee_id, first_name, last_name, department_id, job_title, hire_date, termination_date, salary, gender, age, state, employment_status)
- departments (department_id, department_name, manager_id, location, annual_budget)
- performance_reviews (review_id, employee_id, review_date, rating, comments, reviewer_id)
- leave_requests (request_id, employee_id, leave_type, start_date, end_date, days_taken, status)
- payroll (payroll_id, employee_id, pay_period_start, pay_period_end, base_salary, bonus, overtime_pay, deductions, net_pay)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Total payroll expense by department per quarter, grouped bar chart with quarter on x-axis and payroll expense by department on y-axis', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': True, 'chartType': 'line', 'chartDetails': 'Total payroll expense by department per quarter', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Total payroll expense by department per quarter, bar chart', 'notAnswerableReason': None}",Fail,Pass,
"Question: Which department has the highest attrition rate?

Available database schema:
Tables:
- employees (employee_id, first_name, last_name, department_id, job_title, hire_date, termination_date, salary, gender, age, state, employment_status)
- departments (department_id, department_name, manager_id, location, annual_budget)
- performance_reviews (review_id, employee_id, review_date, rating, comments, reviewer_id)
- leave_requests (request_id, employee_id, leave_type, start_date, end_date, days_taken, status)
- payroll (payroll_id, employee_id, pay_period_start, pay_period_end, base_salary, bonus, overtime_pay, deductions, net_pay)","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': True, 'chartType': 'bar', 'chartDetails': 'attrition rate by department', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}",Fail,Pass,
"Question: Headcount by office location

Available database schema:
Tables:
- employees (employee_id, first_name, last_name, department_id, job_title, hire_date, termination_date, salary, gender, age, state, employment_status)
- departments (department_id, department_name, manager_id, location, annual_budget)
- performance_reviews (review_id, employee_id, review_date, rating, comments, reviewer_id)
- leave_requests (request_id, employee_id, leave_type, start_date, end_date, days_taken, status)
- payroll (payroll_id, employee_id, pay_period_start, pay_period_end, base_salary, bonus, overtime_pay, deductions, net_pay)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Headcount by office location, bar chart with location on x-axis and employee count on y-axis sorted descending', 'notAnswerableReason': None}","{'questionAnswerable': False, 'requiresChart': False, 'requiresTextOutput': True, 'notAnswerableReason': 'data not in the schema'}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Headcount by office location, bar chart', 'notAnswerableReason': None}",Fail,Pass,
"Question: Average days of leave taken by leave type

Available database schema:
Tables:
- employees (employee_id, first_name, last_name, department_id, job_title, hire_date, termination_date, salary, gender, age, state, employment_status)
- departments (department_id, department_name, manager_id, location, annual_budget)
- performance_reviews (review_id, employee_id, review_date, rating, comments, reviewer_id)
- leave_requests (request_id, employee_id, leave_type, start_date, end_date, days_taken, status)
- payroll (payroll_id, employee_id, pay_period_start, pay_period_end, base_salary, bonus, overtime_pay, deductions, net_pay)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Average days of leave taken by leave type, bar chart with leave type on x-axis and average days on y-axis', 'notAnswerableReason': None}","{'questionAnswerable': False, 'requiresChart': False, 'requiresTextOutput': True, 'notAnswerableReason': 'data not in the schema'}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Average days of leave taken by leave type, bar chart', 'notAnswerableReason': None}",Fail,Pass,
"Question: How many employees have been with the company more than 5 years?

Available database schema:
Tables:
- employees (employee_id, first_name, last_name, department_id, job_title, hire_date, termination_date, salary, gender, age, state, employment_status)
- departments (department_id, department_name, manager_id, location, annual_budget)
- performance_reviews (review_id, employee_id, review_date, rating, comments, reviewer_id)
- leave_requests (request_id, employee_id, leave_type, start_date, end_date, days_taken, status)
- payroll (payroll_id, employee_id, pay_period_start, pay_period_end, base_salary, bonus, overtime_pay, deductions, net_pay)","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': False, 'requiresChart': False, 'requiresTextOutput': True, 'notAnswerableReason': 'not in schema'}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}",Fail,Pass,
"Question: Monthly hiring trend for 2023 vs 2024

Available database schema:
Tables:
- employees (employee_id, first_name, last_name, department_id, job_title, hire_date, termination_date, salary, gender, age, state, employment_status)
- departments (department_id, department_name, manager_id, location, annual_budget)
- performance_reviews (review_id, employee_id, review_date, rating, comments, reviewer_id)
- leave_requests (request_id, employee_id, leave_type, start_date, end_date, days_taken, status)
- payroll (payroll_id, employee_id, pay_period_start, pay_period_end, base_salary, bonus, overtime_pay, deductions, net_pay)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'line', 'chartDetails': 'Monthly hiring trend comparison for 2023 vs 2024, dual-series line chart with month on x-axis and new hires on y-axis', 'notAnswerableReason': None}",,,,,
"Question: What is the average performance rating?

Available database schema:
Tables:
- employees (employee_id, first_name, last_name, department_id, job_title, hire_date, termination_date, salary, gender, age, state, employment_status)
- departments (department_id, department_name, manager_id, location, annual_budget)
- performance_reviews (review_id, employee_id, review_date, rating, comments, reviewer_id)
- leave_requests (request_id, employee_id, leave_type, start_date, end_date, days_taken, status)
- payroll (payroll_id, employee_id, pay_period_start, pay_period_end, base_salary, bonus, overtime_pay, deductions, net_pay)","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}",Pass,Pass,
"Question: What is the current MRR?

Available database schema:
Tables:
- accounts (account_id, company_name, plan_type, signup_date, mrr, arr, status, country, industry)
- users (user_id, account_id, email, role, created_at, last_login, is_active)
- subscriptions (sub_id, account_id, plan_id, start_date, end_date, monthly_amount, billing_cycle, is_active)
- events (event_id, user_id, event_type, event_name, occurred_at, session_id, device_type)
- invoices (invoice_id, account_id, amount, issue_date, due_date, paid_date, status)
- support_tickets (ticket_id, account_id, user_id, subject, priority, created_at, resolved_at, status)","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}",Pass,Pass,
"Question: MRR trend over the last 12 months

Available database schema:
Tables:
- accounts (account_id, company_name, plan_type, signup_date, mrr, arr, status, country, industry)
- users (user_id, account_id, email, role, created_at, last_login, is_active)
- subscriptions (sub_id, account_id, plan_id, start_date, end_date, monthly_amount, billing_cycle, is_active)
- events (event_id, user_id, event_type, event_name, occurred_at, session_id, device_type)
- invoices (invoice_id, account_id, amount, issue_date, due_date, paid_date, status)
- support_tickets (ticket_id, account_id, user_id, subject, priority, created_at, resolved_at, status)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'line', 'chartDetails': 'MRR trend over the last 12 months, line chart with month on x-axis and MRR on y-axis', 'notAnswerableReason': None}","{'questionAnswerable': False, 'requiresChart': True, 'requiresTextOutput': True, 'chartType': 'line', 'chartDetails': 'MRR trend over the last 12 months', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'line', 'chartDetails': 'MRR trend over the last 12 months, line chart', 'notAnswerableReason': None}",Fail,Pass,
"Question: Churn rate by plan type

Available database schema:
Tables:
- accounts (account_id, company_name, plan_type, signup_date, mrr, arr, status, country, industry)
- users (user_id, account_id, email, role, created_at, last_login, is_active)
- subscriptions (sub_id, account_id, plan_id, start_date, end_date, monthly_amount, billing_cycle, is_active)
- events (event_id, user_id, event_type, event_name, occurred_at, session_id, device_type)
- invoices (invoice_id, account_id, amount, issue_date, due_date, paid_date, status)
- support_tickets (ticket_id, account_id, user_id, subject, priority, created_at, resolved_at, status)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Churn rate by plan type, bar chart with plan type on x-axis and churn rate (%) on y-axis', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': True, 'chartType': 'bar', 'chartDetails': 'Churn rate by plan type', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Churn rate by plan type, bar chart', 'notAnswerableReason': None}",Fail,Pass,
"Question: How many new accounts signed up last month?

Available database schema:
Tables:
- accounts (account_id, company_name, plan_type, signup_date, mrr, arr, status, country, industry)
- users (user_id, account_id, email, role, created_at, last_login, is_active)
- subscriptions (sub_id, account_id, plan_id, start_date, end_date, monthly_amount, billing_cycle, is_active)
- events (event_id, user_id, event_type, event_name, occurred_at, session_id, device_type)
- invoices (invoice_id, account_id, amount, issue_date, due_date, paid_date, status)
- support_tickets (ticket_id, account_id, user_id, subject, priority, created_at, resolved_at, status)","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}",,Pass,,
"Question: Account distribution by industry

Available database schema:
Tables:
- accounts (account_id, company_name, plan_type, signup_date, mrr, arr, status, country, industry)
- users (user_id, account_id, email, role, created_at, last_login, is_active)
- subscriptions (sub_id, account_id, plan_id, start_date, end_date, monthly_amount, billing_cycle, is_active)
- events (event_id, user_id, event_type, event_name, occurred_at, session_id, device_type)
- invoices (invoice_id, account_id, amount, issue_date, due_date, paid_date, status)
- support_tickets (ticket_id, account_id, user_id, subject, priority, created_at, resolved_at, status)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'pie', 'chartDetails': 'Account distribution by industry, pie chart showing proportion of accounts in each industry', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'pie', 'chartDetails': 'Account distribution by industry, pie chart', 'notAnswerableReason': None}",Fail,Pass,
"Question: Support ticket volume by priority over last 6 months

Available database schema:
Tables:
- accounts (account_id, company_name, plan_type, signup_date, mrr, arr, status, country, industry)
- users (user_id, account_id, email, role, created_at, last_login, is_active)
- subscriptions (sub_id, account_id, plan_id, start_date, end_date, monthly_amount, billing_cycle, is_active)
- events (event_id, user_id, event_type, event_name, occurred_at, session_id, device_type)
- invoices (invoice_id, account_id, amount, issue_date, due_date, paid_date, status)
- support_tickets (ticket_id, account_id, user_id, subject, priority, created_at, resolved_at, status)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Support ticket volume by priority over last 6 months, grouped bar chart with month on x-axis and ticket count by priority on y-axis', 'notAnswerableReason': None}","{'questionAnswerable': False, 'requiresChart': True, 'requiresTextOutput': True, 'chartType': 'line', 'chartDetails': 'time trends: over time', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Support ticket volume by priority over last 6 months, bar chart', 'notAnswerableReason': None}",Fail,Pass,
"Question: What is the average days to resolve a support ticket?

Available database schema:
Tables:
- accounts (account_id, company_name, plan_type, signup_date, mrr, arr, status, country, industry)
- users (user_id, account_id, email, role, created_at, last_login, is_active)
- subscriptions (sub_id, account_id, plan_id, start_date, end_date, monthly_amount, billing_cycle, is_active)
- events (event_id, user_id, event_type, event_name, occurred_at, session_id, device_type)
- invoices (invoice_id, account_id, amount, issue_date, due_date, paid_date, status)
- support_tickets (ticket_id, account_id, user_id, subject, priority, created_at, resolved_at, status)","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': False, 'requiresChart': False, 'requiresTextOutput': True, 'notAnswerableReason': 'data not in the schema'}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}",Fail,Pass,
"Question: Monthly new account signups vs churned accounts waterfall last 12 months

Available database schema:
Tables:
- accounts (account_id, company_name, plan_type, signup_date, mrr, arr, status, country, industry)
- users (user_id, account_id, email, role, created_at, last_login, is_active)
- subscriptions (sub_id, account_id, plan_id, start_date, end_date, monthly_amount, billing_cycle, is_active)
- events (event_id, user_id, event_type, event_name, occurred_at, session_id, device_type)
- invoices (invoice_id, account_id, amount, issue_date, due_date, paid_date, status)
- support_tickets (ticket_id, account_id, user_id, subject, priority, created_at, resolved_at, status)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'waterfall', 'chartDetails': 'Waterfall chart showing monthly new account signups vs churned accounts over last 12 months - green bars for new signups, red bars for churned accounts', 'notAnswerableReason': None}","{'questionAnswerable': False, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'waterfall', 'chartDetails': 'gains vs losses: new vs churned, gained vs lost, net change'}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Monthly new account signups vs churned accounts waterfall last 12 months, bar chart', 'notAnswerableReason': None}",Fail,Fail,
"Question: Active user count trend week over week for last 8 weeks

Available database schema:
Tables:
- accounts (account_id, company_name, plan_type, signup_date, mrr, arr, status, country, industry)
- users (user_id, account_id, email, role, created_at, last_login, is_active)
- subscriptions (sub_id, account_id, plan_id, start_date, end_date, monthly_amount, billing_cycle, is_active)
- events (event_id, user_id, event_type, event_name, occurred_at, session_id, device_type)
- invoices (invoice_id, account_id, amount, issue_date, due_date, paid_date, status)
- support_tickets (ticket_id, account_id, user_id, subject, priority, created_at, resolved_at, status)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'line', 'chartDetails': 'Active user count trend week over week for last 8 weeks, line chart with week on x-axis and active user count on y-axis', 'notAnswerableReason': None}","{'questionAnswerable': False, 'requiresChart': True, 'requiresTextOutput': True, 'chartType': 'line', 'chartDetails': 'Active user count trend week over week for last 8 weeks', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'line', 'chartDetails': 'Active user count trend week over week for last 8 weeks, line chart', 'notAnswerableReason': None}",Fail,Pass,
"Question: Revenue by plan type breakdown

Available database schema:
Tables:
- accounts (account_id, company_name, plan_type, signup_date, mrr, arr, status, country, industry)
- users (user_id, account_id, email, role, created_at, last_login, is_active)
- subscriptions (sub_id, account_id, plan_id, start_date, end_date, monthly_amount, billing_cycle, is_active)
- events (event_id, user_id, event_type, event_name, occurred_at, session_id, device_type)
- invoices (invoice_id, account_id, amount, issue_date, due_date, paid_date, status)
- support_tickets (ticket_id, account_id, user_id, subject, priority, created_at, resolved_at, status)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Revenue breakdown by plan type, bar chart with plan type on x-axis and total revenue on y-axis sorted descending', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': True, 'chartType': 'bar', 'chartDetails': 'by plan type at a single point in time', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Revenue by plan type breakdown, bar chart', 'notAnswerableReason': None}",Fail,Pass,
"Question: Total patient visits by month this year

Available database schema:
Tables:
- patients (patient_id, first_name, last_name, date_of_birth, gender, state, insurance_type, registration_date)
- appointments (appointment_id, patient_id, provider_id, appointment_date, appointment_type, status, duration_min, no_show)
- providers (provider_id, first_name, last_name, specialty, department_id, hire_date, status)
- diagnoses (diagnosis_id, patient_id, appointment_id, icd_code, description, diagnosed_date, severity)
- billing (billing_id, patient_id, appointment_id, service_date, billed_amount, paid_amount, insurance_paid, balance, status)
- medications (medication_id, patient_id, drug_name, dosage, prescribed_date, end_date, provider_id)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Total patient visits by month this year, bar chart with month on x-axis and visit count on y-axis', 'notAnswerableReason': None}",,"{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'line', 'chartDetails': 'Total patient visits by month this year, line chart', 'notAnswerableReason': None}",,Fail,
